,test_acc,train_acc
3_prims_0_seed,0.0,0.92
3_prims_1_seed,0.041666666666666664,1.0
3_prims_2_seed,0.0,0.88
3_prims_3_seed,0.0,1.0
3_prims_4_seed,0.0,0.88
10_prims_0_seed,0.041666666666666664,1.0
10_prims_1_seed,0.16666666666666666,0.9864864864864865
10_prims_2_seed,0.0,1.0
10_prims_3_seed,0.041666666666666664,1.0
10_prims_4_seed,0.0,1.0
20_prims_0_seed,0.08333333333333333,1.0
20_prims_1_seed,0.125,1.0
20_prims_2_seed,0.0,1.0
20_prims_3_seed,0.2916666666666667,1.0
20_prims_4_seed,0.0,1.0
50_prims_0_seed,0.875,1.0
50_prims_1_seed,0.6666666666666666,1.0
50_prims_2_seed,0.375,1.0
50_prims_3_seed,0.75,1.0
50_prims_4_seed,0.5,1.0
100_prims_0_seed,0.75,1.0
100_prims_1_seed,0.5,1.0
100_prims_2_seed,0.16666666666666666,0.9985795454545454
100_prims_3_seed,0.7916666666666666,1.0
100_prims_4_seed,0.5833333333333334,1.0
200_prims_0_seed,0.7916666666666666,1.0
200_prims_1_seed,0.9166666666666666,0.9992877492877493
200_prims_2_seed,1.0,1.0
200_prims_3_seed,0.9583333333333334,0.9992877492877493
200_prims_4_seed,0.6666666666666666,1.0
300_prims_0_seed,1.0,1.0
300_prims_1_seed,1.0,1.0
300_prims_2_seed,0.75,0.9995247148288974
300_prims_3_seed,1.0,0.9995247148288974
300_prims_4_seed,0.9166666666666666,1.0
400_prims_0_seed,1.0,1.0
400_prims_1_seed,0.8333333333333334,1.0
400_prims_2_seed,1.0,0.9996433666191156
400_prims_3_seed,0.7083333333333334,0.9996433666191156
400_prims_4_seed,1.0,1.0
500_prims_0_seed,0.9166666666666666,1.0
500_prims_1_seed,0.9583333333333334,0.9997146118721462
500_prims_2_seed,0.9166666666666666,0.9988584474885844
500_prims_3_seed,0.9166666666666666,1.0
500_prims_4_seed,0.9583333333333334,1.0
