,0,1,2,3,4,5,6,7,8,9
3_prims_0_seed_train,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.5555555555555556,0.8333333333333334,0.6111111111111112
3_prims_0_seed_test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_1_seed_train,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9444444444444444
3_prims_1_seed_test,0.08333333333333333,0.0,0.125,0.0,0.0,0.08333333333333333,0.20833333333333334,0.125,0.041666666666666664,0.16666666666666666
3_prims_2_seed_train,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.7222222222222222,0.6666666666666666,0.6666666666666666
3_prims_2_seed_test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_3_seed_train,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,1.0,1.0
3_prims_3_seed_test,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664
3_prims_4_seed_train,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
3_prims_4_seed_test,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0
10_prims_0_seed_train,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_prims_0_seed_test,0.125,0.2916666666666667,0.20833333333333334,0.25,0.041666666666666664,0.20833333333333334,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.2916666666666667
10_prims_1_seed_train,1.0,1.0,1.0,1.0,0.9833333333333333,1.0,0.9833333333333333,1.0,1.0,1.0
10_prims_1_seed_test,0.4583333333333333,0.041666666666666664,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,0.375,0.25,0.25,0.5
10_prims_2_seed_train,1.0,1.0,0.95,1.0,0.9833333333333333,1.0,1.0,0.9833333333333333,1.0,1.0
10_prims_2_seed_test,0.125,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125,0.041666666666666664,0.125
10_prims_3_seed_train,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.0,1.0
10_prims_3_seed_test,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.25,0.25,0.16666666666666666,0.125,0.041666666666666664
10_prims_4_seed_train,0.9333333333333333,1.0,0.9833333333333333,0.95,0.95,0.95,0.9333333333333333,1.0,0.9333333333333333,0.9833333333333333
10_prims_4_seed_test,0.0,0.041666666666666664,0.125,0.125,0.08333333333333333,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.16666666666666666
20_prims_0_seed_train,0.8583333333333333,0.825,0.8833333333333333,0.825,0.9416666666666667,0.825,0.8166666666666667,0.8583333333333333,0.8333333333333334,0.8833333333333333
20_prims_0_seed_test,0.2916666666666667,0.4166666666666667,0.20833333333333334,0.25,0.3333333333333333,0.375,0.25,0.20833333333333334,0.25,0.4583333333333333
20_prims_1_seed_train,0.8916666666666667,0.95,0.975,0.925,0.9416666666666667,0.925,0.95,0.95,0.9166666666666666,0.9
20_prims_1_seed_test,0.25,0.08333333333333333,0.16666666666666666,0.25,0.20833333333333334,0.25,0.16666666666666666,0.08333333333333333,0.125,0.16666666666666666
20_prims_2_seed_train,0.8666666666666667,0.775,0.9,0.85,0.8916666666666667,0.85,0.8833333333333333,0.8583333333333333,0.8833333333333333,0.8666666666666667
20_prims_2_seed_test,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0
20_prims_3_seed_train,0.825,0.8416666666666667,0.8416666666666667,0.85,0.8833333333333333,0.8416666666666667,0.8916666666666667,0.8416666666666667,0.85,0.875
20_prims_3_seed_test,0.20833333333333334,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.125,0.375,0.08333333333333333,0.16666666666666666,0.16666666666666666
20_prims_4_seed_train,0.75,0.8416666666666667,0.8083333333333333,0.8333333333333334,0.7916666666666666,0.825,0.85,0.8083333333333333,0.8333333333333334,0.8166666666666667
20_prims_4_seed_test,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0
50_prims_0_seed_train,0.72,0.7733333333333333,0.7,0.7733333333333333,0.7566666666666667,0.75,0.77,0.7133333333333334,0.7433333333333333,0.7233333333333334
50_prims_0_seed_test,0.5833333333333334,0.4583333333333333,0.5,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.625,0.5416666666666666,0.5,0.5416666666666666
50_prims_1_seed_train,0.6466666666666666,0.7266666666666667,0.6333333333333333,0.6533333333333333,0.6466666666666666,0.6666666666666666,0.6633333333333333,0.6533333333333333,0.6633333333333333,0.7133333333333334
50_prims_1_seed_test,0.5416666666666666,0.7083333333333334,0.6666666666666666,0.75,0.625,0.7916666666666666,0.5,0.6666666666666666,0.7083333333333334,0.6666666666666666
50_prims_2_seed_train,0.7966666666666666,0.7733333333333333,0.7833333333333333,0.8,0.8266666666666667,0.7466666666666667,0.7833333333333333,0.8,0.79,0.8166666666666667
50_prims_2_seed_test,0.2916666666666667,0.16666666666666666,0.25,0.375,0.20833333333333334,0.5,0.4583333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667
50_prims_3_seed_train,0.6733333333333333,0.7333333333333333,0.73,0.67,0.7266666666666667,0.7433333333333333,0.7033333333333334,0.7233333333333334,0.7133333333333334,0.6833333333333333
50_prims_3_seed_test,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.75,0.5833333333333334,0.5833333333333334,0.7083333333333334
50_prims_4_seed_train,0.8133333333333334,0.8566666666666667,0.85,0.7666666666666667,0.8133333333333334,0.8266666666666667,0.8033333333333333,0.87,0.7866666666666666,0.7433333333333333
50_prims_4_seed_test,0.4166666666666667,0.375,0.375,0.5,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333
100_prims_0_seed_train,0.6333333333333333,0.5833333333333334,0.6383333333333333,0.6383333333333333,0.6383333333333333,0.6316666666666667,0.6083333333333333,0.6483333333333333,0.635,0.6116666666666667
100_prims_0_seed_test,0.625,0.5416666666666666,0.75,0.5833333333333334,0.5,0.625,0.5833333333333334,0.625,0.6666666666666666,0.5833333333333334
100_prims_1_seed_train,0.725,0.6883333333333334,0.6633333333333333,0.69,0.71,0.7183333333333334,0.7216666666666667,0.6966666666666667,0.6916666666666667,0.7033333333333334
100_prims_1_seed_test,0.4166666666666667,0.2916666666666667,0.4583333333333333,0.5,0.5833333333333334,0.4583333333333333,0.4166666666666667,0.375,0.4583333333333333,0.4166666666666667
100_prims_2_seed_train,0.775,0.7583333333333333,0.75,0.7816666666666666,0.7433333333333333,0.7833333333333333,0.7533333333333333,0.7683333333333333,0.7416666666666667,0.715
100_prims_2_seed_test,0.20833333333333334,0.08333333333333333,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.125
100_prims_3_seed_train,0.7033333333333334,0.695,0.71,0.7,0.6416666666666667,0.6733333333333333,0.6833333333333333,0.7083333333333334,0.685,0.715
100_prims_3_seed_test,0.5,0.625,0.5833333333333334,0.7083333333333334,0.5416666666666666,0.625,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666
100_prims_4_seed_train,0.67,0.6766666666666666,0.6766666666666666,0.6666666666666666,0.6866666666666666,0.6883333333333334,0.7083333333333334,0.6833333333333333,0.675,0.6766666666666666
100_prims_4_seed_test,0.5,0.4166666666666667,0.5416666666666666,0.6666666666666666,0.5416666666666666,0.4583333333333333,0.5,0.5416666666666666,0.625,0.625
200_prims_0_seed_train,0.5916666666666667,0.6091666666666666,0.565,0.6183333333333333,0.5658333333333333,0.5916666666666667,0.6033333333333334,0.5983333333333334,0.595,0.6075
200_prims_0_seed_test,0.75,0.75,0.875,0.9166666666666666,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.875
200_prims_1_seed_train,0.49833333333333335,0.5258333333333334,0.5266666666666666,0.505,0.485,0.5525,0.5025,0.49833333333333335,0.48083333333333333,0.4766666666666667
200_prims_1_seed_test,0.875,0.9166666666666666,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.875,0.7916666666666666,0.875,0.6666666666666666,0.9166666666666666
200_prims_2_seed_train,0.55,0.5566666666666666,0.5275,0.505,0.5741666666666667,0.5416666666666666,0.5266666666666666,0.515,0.515,0.5208333333333334
200_prims_2_seed_test,0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.875
200_prims_3_seed_train,0.44583333333333336,0.4583333333333333,0.49166666666666664,0.46,0.47833333333333333,0.4425,0.4508333333333333,0.49,0.4625,0.4375
200_prims_3_seed_test,1.0,0.9166666666666666,1.0,0.875,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334
200_prims_4_seed_train,0.5433333333333333,0.5508333333333333,0.5633333333333334,0.5625,0.5491666666666667,0.5416666666666666,0.5625,0.5183333333333333,0.5516666666666666,0.5408333333333334
