,0,1,2,3,4,5,6,7,8,9
3_prims_0_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_0_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_1_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_1_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_2_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_2_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_3_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_3_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_4_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_prims_4_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_0_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_0_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_1_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_1_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_2_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_2_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_3_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_3_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_4_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10_prims_4_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_0_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_0_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_1_seed_test_1,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125
20_prims_1_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_2_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_2_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_3_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_3_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_4_seed_test_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_prims_4_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50_prims_0_seed_test_1,0.875,0.625,0.375,0.625,0.75,0.375,0.25,0.875,0.125,0.75
50_prims_0_seed_test_2,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50_prims_1_seed_test_1,0.0,0.0,0.0,0.125,0.0,0.125,0.25,0.0,0.125,0.0
50_prims_1_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50_prims_2_seed_test_1,0.0,0.125,0.125,0.0,0.125,0.25,0.125,0.125,0.125,0.25
50_prims_2_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
