,0,1,2,3,4,5,6,7,8,9
300_prims_0_seed_test_1,1.0,1.0,0.875,1.0,0.875,0.875,0.875,1.0,0.875,1.0
300_prims_0_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300_prims_1_seed_test_1,0.75,0.875,0.875,0.875,1.0,1.0,0.75,1.0,1.0,1.0
300_prims_1_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300_prims_2_seed_test_1,0.375,0.375,0.25,0.5,0.25,0.5,0.375,0.0,0.25,0.375
300_prims_2_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300_prims_3_seed_test_1,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,0.875,1.0
300_prims_3_seed_test_2,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
300_prims_4_seed_test_1,0.625,0.75,0.75,0.625,1.0,1.0,0.75,0.875,0.875,1.0
300_prims_4_seed_test_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
